w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
897,880,Narsinghpura,Narsinghpura,M.P,Petlawad,Jhabua,Petlawad,1-May-2025,Shiksha Kutir,Bhil (ST),
898,881,Mainahva,Jhaprahva,M.P,Chitrangi,Singrauli,Chitrangi,2-May-2025,Study Center,"Panika, Khairwar, Agariya (ST) & Saket (SC)",.
899,882,Churki,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,2-May-2025,Study Center,"Baiga, Gond, Agaria, Kol, Panika, Khairwar (ST) Saket, Prajapati (SC), Yadav, Jaiswal, Bais, Rajak, Sahu, Soni, Nai, Vishvkarma (OBC) & Brahman, Gupta, Baghel, Muslim (General)",
900,883,Birkuniya,Piprahwa,M.P,Chitrangi,Singrauli,Chitrangi,4-May-2025,Study Center,"Baiga, Panika, Agariya, Kol, Khairwar (SC), Saket, Prajapati, Bansal (SC) Bais, Yadav, Sahu, Vishvkarma (OBC) & Brahman (General)",
901,884,Aamakhal,Junapani,M.P,Sirali,Harda,Khirkiya,10-May-2025,Study Center,Gond & Korku (ST),
902,885,Junapani,Junapani,M.P,Sirali,Harda,Khirkiya,10-May-2025,Study Center,Gond (ST) & Balai (SC),
903,886,Anjrood Ryt,Junapani,M.P,Sirali,Harda,Khirkiya,10-May-2025,Study Center,"Korku (ST), Balai (SC) & Yadav (OBC)",
904,887,Dhauramuda,Dhauramuda,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,13-May-2025,Study Center,"Agariya (ST), Baghel & Yadav (OBC)",
905,888,Chikaniyatola,Dhauramuda,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,13-May-2025,Study Center,"Baiga, Gond (ST), & Panika (OBC)",
906,889,Gourkheda,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,14-May-2025,Study Center,"Baiga, Gond (ST), & Yadav (OBC)",
907,890,Dongritola,Dhauramuda,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,14-May-2025,Study Center,"Baiga, Agariya & Gond (ST)",
908,891,Kathoutiya,Keonchi,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,15-May-2025,Study Center,Baiga (ST) & Yadav (OBC),
909,892,Bandhatola,Badikhar,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,15-May-2025,Study Center,"Baiga, Gond (ST)  & Yadav, Panika  (OBC)",
910,893,Dhakankhali,Junapani,M.P,Sirali,Harda,Khirkiya,20-May-2025,Study Center,Barela (ST),
911,894,Richhadiya,Junapani,M.P,Sirali,Harda,Khirkiya,20-May-2025,Study Center,"Barela, & Korku (ST) ",
912,895,Sonpura,Junapani,M.P,Sirali,Harda,Khirkiya,21-May-2025,Study Center,"Korku (ST), & Yadav (OBC)",
913,896,Pipalpani,Junapani,M.P,Sirali,Harda,Khirkiya,21-May-2025,Study Center,"Korku (ST), & Yadav (OBC)",
914,897,Magarya,Junapani,M.P,Sirali,Harda,Khirkiya,21-May-2025,Study Center,Gond (ST),
915,898,Rundmal,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,25-Jul-2025,Study Center,Bhilala (ST),
916,899,Kalibel,Kalibel,M.P,Sondwa,Alirajpur,Sondwa,25-Jul-2025,Study Center,Bhilala (ST),
