w,Operational,Kutir,Cluster,State,Tehsil,District,Block,Inauguration,Type of Kutir,Tribes,Close Date
765,748,Kumhni,Kodar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,25-Sep-2024,Study Center,Gond (ST),
766,749,Udal,Kodar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,28-Sep-2024,Study Center,Gond & Baiga (ST),
767,750,Uparpara,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,28-Sep-2024,Study Center,Baiga (ST),
768,751,Bendrapani,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,28-Sep-2024,Study Center,Baiga (ST),
769,752,Pandripani,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,29-Sep-2024,Study Center,Baiga & Agariya (ST) & OBC,
770,753,Gijohar,Atraila,M.P,Kusmi,Sidhi,Kusmi,29-Sep-2024,Study Center,Baiga (ST),
771,754,Pankhora,Atraila,M.P,Kusmi,Sidhi,Kusmi,29-Sep-2024,Study Center,Baiga (ST),
772,755,Baheradol,Atraila,M.P,Kusmi,Sidhi,Kusmi,29-Sep-2024,Study Center,"Gond, Baiga (ST) & Saket, Koli (SC) & OBC",
773,756,Atraila,Atraila,M.P,Kusmi,Sidhi,Kusmi,29-Sep-2024,Study Center,"Gond, Baiga, Panika (ST) & Prajapati (SC) & OBC",
774,757,Duhkuriya,Chagohar,M.P,Kusmi,Sidhi,Kusmi,29-Sep-2024,Study Center,"Gond, Baiga, Pathari (ST) & Saket (SC) & OBC",
775,758,Bondari,Bondari,M.P,Birsa,Balaghat,Birsa,1-Oct-2024,Study Center,Baiga (ST),
776,759,Kundeksa,Bondari,M.P,Birsa,Balaghat,Birsa,1-Oct-2024,Study Center,Baiga (ST),
777,760,Chikalpat,Bheempura,M.P,Sirali,Harda,Khirkiya,1-Oct-2024,Study Center,"Gond, Korku (ST) & OBC",
778,761,Imlidhana,Aarya,M.P,Sirali,Harda,Khirkiya,1-Oct-2024,Study Center,Korku (ST),
779,762,Bhavarpani,Aarya,M.P,Sirali,Harda,Khirkiya,1-Oct-2024,Study Center,Korku (ST) & OBC,
780,763,Neemdhana,Aarya,M.P,Sirali,Harda,Khirkiya,1-Oct-2024,Study Center,"Gond, Korku (ST)",
781,764,Lalyachapad,Aarya,M.P,Sirali,Harda,Khirkiya,1-Oct-2024,Study Center,"Barela, Gond, Korku (ST) & OBC",
782,765,Chhirhitti,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,1-Oct-2024,Study Center,Baiga (ST),
783,766,Ghuipani,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,3-Oct-2024,Study Center,Baiga (ST),
784,767,Korka,Bondari,M.P,Birsa,Balaghat,Birsa,9-Oct-2024,Study Center,Baiga (ST),
785,768,Usri,Bondari,M.P,Birsa,Balaghat,Birsa,15-Oct-2024,Study Center,Baiga (ST),
786,769,Mitthu Mahua,Kodar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,16-Oct-2024,Study Center,Gond & Baiga (ST),
787,770,Bulhupani,Kodar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,16-Oct-2024,Study Center,Gond & Baiga (ST),
788,771,Ghummur,Murum,M.P,Birsa,Balaghat,Birsa,19-Oct-2024,Study Center,Baiga (ST),
789,772,Bhogadwar,Murum,M.P,Birsa,Balaghat,Birsa,19-Oct-2024,Study Center,Gond (ST),
790,773,Chittatola,Atraila,M.P,Kusmi,Sidhi,Kusmi,21-Oct-2024,Study Center,"Gond, Baiga (ST) & OBC",
791,774,Ramgarh,Atraila,M.P,Kusmi,Sidhi,Kusmi,21-Oct-2024,Study Center,"Gond, Agariya, Baiga (ST) & OBC",
792,775,Khodamba,Chilkada,M.P,Sondwa,Alirajpur,Sondwa,24-Oct-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
793,776,Chhoti Gendra,Bhitada,M.P,Sondwa,Alirajpur,Sondwa,24-Oct-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
794,777,Chhoti Fartala,Bhitada,M.P,Sondwa,Alirajpur,Sondwa,24-Oct-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
795,778,Saraipani,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,25-Oct-2024,Study Center,Baiga (ST) & OBC,
796,779,Matikachhar,Dhanoli,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,26-Oct-2024,Study Center,"Gond, Agariya(ST) & Choudhri SC) & OBC",
797,780,Dahibahra,Pandripani,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,26-Oct-2024,Study Center,Bhaina (ST) & OBC,
798,781,Navatola,Dhanoli,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,26-Oct-2024,Study Center,Gond (ST) & OBC,
799,782,Khamhli Kala,Dhanoli,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,26-Oct-2024,Study Center,"Gond,Kol (ST) & Chourdhri (SC)",
800,783,Umarkhad,Kiti,M.P,Sondwa,Alirajpur,Sondwa,29-Oct-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
801,784,Lohar Faliya,Kiti,M.P,Sondwa,Alirajpur,Sondwa,29-Oct-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
802,785,Chhakana ki Maal,Kiti,M.P,Sondwa,Alirajpur,Sondwa,29-Oct-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
803,786,Daldali,Kodar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,7-Nov-2024,Study Center,Gond & Baiga (ST),
804,787,Padri,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,8-Nov-2024,Study Center,"Gond, Panika (ST) & OBC",
805,788,Bakan,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,9-Nov-2024,Study Center,Gond (ST) & OBC,
806,789,Chauradadar,Belapani,M.P,Pushprajgarh,Anuppur,Pushprajgarh,9-Nov-2024,Study Center,Gond & Baiga (ST),
807,790,Sundarpani,Bheempura,M.P,Sirali,Harda,Khirkiya,11-Nov-2024,Study Center,Korku (ST) & OBC,
808,791,Bhomkadhana,Aarya,M.P,Sirali,Harda,Khirkiya,11-Nov-2024,Study Center,Korku (ST),
809,792,Sarfa,Kodar,M.P,Pushprajgarh,Anuppur,Pushprajgarh,16-Nov-2024,Study Center,Gond (ST) & OBC,
810,793,Gorratikra,Dhauramuda,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,23-Nov-2024,Study Center,Bhaina (ST) & OBC,
811,794,Babatola,Dhanoli,C.G,Gaurela,Gaurela-Pendra-Marwahi,Gaurela,23-Nov-2024,Study Center,Gond & Baiga (ST),
812,795,Bairagi,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,26-Nov-2024,Study Center,"Gond, Baiga (ST) & OBC",
813,796,Tarang,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,27-Nov-2024,Study Center,"Gond, Agariya, Kol (ST) & OBC",
814,797,Goratola,Tarang,M.P,Pushprajgarh,Anuppur,Pushprajgarh,30-Nov-2024,Study Center,Gond & Baiga (ST),
815,798,Kari,Kherwani,M.P,Pati,Barwani,Pati,2-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST)  & OBC,
816,799,Dhagbara Faliya,Borkund,M.P,Pati,Barwani,Pati,2-Dec-2024,Shiksha Kutir,Barela Bhil (ST)  & OBC,
817,800,Tulkikheda,Ranipura,M.P,Pati,Barwani,Pati,2-Dec-2024,Shiksha Kutir,Barela Bhil (ST)  & Balai (SC),
818,801,Karajwani,Karajwani,M.P,Sondwa,Alirajpur,Sondwa,4-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
819,802,Holi Faliya,Karajwani,M.P,Sondwa,Alirajpur,Sondwa,4-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
820,803,Patel Faliya (Wakner),Karajwani,M.P,Sondwa,Alirajpur,Sondwa,4-Dec-2024,Shiksha Kutir,Barela Bhil & Bhilala (ST),
